,В каком разделе НКРЯ в теории может быть полезен?,Название,"Объём (входы, слова, страницы)",Авторы,Редакторы,Издательство,Unnamed: 22
0,основной,Обратный словарь русского языка,Около 125 000 слов; 944 страницы,"научные консультанты А. А. Зализняк, Р. В. Бахтурина, Е. М. Сморгунова",,Советская энциклопедия,https://obuchalka.org/2015050784509/obratnii-slovar-russkogo-yazika-okolo-125-000-slov-1974.html?ysclid=lsrodso0v2795580165
1,основной,Толковый словарь русского языка Ефремовой,"3 тома, 3312 страниц, около 160 000 словарных статей и примерно 241 000 лексических значений", Ефремова Татьяна Федоровна ,Шалимова О. В.,АСТ,
2,основной,Толковый словарь живого великорусского языка,"Том I страниц 720, Том II страниц 624, всего 2734 стр, около 200 тыс. слов","Даль, Владимир Иванович",Фокина А.,"много их (РООССА, дрофа, просвещение)",
3,основной,Толковый словарь паронимов русского языка,"1100 паронимических рядов, включающих более 2600 паронимов, 592 страниц",В. И. Красных,В. И. Красных,АСТ,
4,основной,Толковый словарь русского языка конца XX века: Языковые изменения,"около 2 млн. словоупотреблений, было отобрано около 5,5 тысяч слов и выражений,",Скляревская Г. Н. и др.,Скляревская Г. Н.,"Институт Лингвистических Исследований РАН, Фолио-Пресс",
5,основной,Словарь модных слов. Языковая картина современности,256 стр.,Новиков Вл.,-, АСТ-Пресс,https://www.calameo.com/read/0064615649fae4cda310d?page=1
6,основной,Словарь синонимов русского языка,568 стр.,З. Е. Александрова,"Т. Ф. Ефремова, Т. А. Пичугина, Н. М. Семенова",Русский язык,
7,основной,Словарь редких и забытых слов,764 стр.,Сомов В. П.,-,ВЛАДОС,
8,основной,Большой толковый словарь донского казачества,Около 18000 слов и устойчивых сочетаний,-,"В.И. Дегтярев, Р.И. Кудряшова, Б.Н. Проценко, O.K. Сердюкова",,"есть пдф, но это пиратство"
9,основной,Словарь трудностей русского языка,"832 стр., 20000 слов","Розенталь Д. Э., Теленкова М. А.",-,Айрис-Пресс,"есть пдф, но это пиратство (и она нераспознанная)"
10,обучающий,Школьный толковый словарь русского языка,"более 8000 слов и словосочетаний, 896 с.","Е. В. Скорлуповская, Г. П. Снетова",,Мир и Образование,
11,обучающий,Школьный словарь литературоведческих терминов,352 с.,"Л. В. Чернец, В. Б. Семенов, В. А. Скиба",Е. П. Пронина,Просвещение,
